"name";"latitude";"longitude";"address";"city";"opening_hours";"phone";"wheelchair"
;45.8519644;10.9790058;;;;;
;45.7827256;11.1181305;;;;;
;46.2907521;11.4620734;;;;;"limited"
;46.0519685;10.8545176;;;;;
"Farmacie Comunali";45.9118599;11.0252009;;;;;
;46.3510072;10.6935363;;;;;
;45.734889;10.9395448;;;;;
;46.0414192;11.2350016;;;;;
;46.3485815;11.0889288;;"Coredo";;;
"Thaler";45.8898791;11.0403937;;;;;
"Farmacia Valle dei Mocheni";46.1091824;11.3021324;"Località Pintarei";"Sant'Orsola Terme";"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00; Su off";"+39 0461 550007";
;46.1010416;10.7362286;;;;;
"Farmacia dott.ssa Venezian";45.9186901;10.8653341;;;;;
;46.3770566;11.6594938;;;;;
"Festa Parafarmacia Profumeria";46.376141;11.6609796;;;;;
"Farmacia Comunale n°1";45.8917455;11.0401438;;"Rovereto";;;"yes"
;46.0605568;11.2413667;"Piazza Mario Garbari";"Pergine Valsugana";;;
"Dispensario farmaceutico";46.0438265;11.5525707;;;;;
"Farmacia S. Giorgio";45.8941621;11.0281746;;;;;
;45.8828375;10.8543589;;;;;
"Farmacia Gallina";46.3159016;10.8016006;"Via IV Novembre";"Mezzana";;;
"Farmacia Comunale";46.0625095;11.6339287;"Via Dante";"Castello Tesino";;;"yes"
"Farmacia Pieve Tesino";46.0681123;11.6117172;;"Pieve Tesino";;;
"Farmacia Alberto Foletto";45.8885959;10.7323059;"Via Nuova";"Ledro";;"+39 0464 591038";
"Parafarmacia Campagnola";46.2071628;11.1000444;"Via Trento";"Mezzolombardo";"Mo-Su 09:00-19:00";"+39 0461 600696";"yes"
"Farmacia";46.15527;11.7329018;;;;;
"Parafarmacia";46.2910265;11.4602172;;;;;
"Mutalipassi";45.8868604;10.8451646;"Via Lutti";"Riva del Garda";;;
"Farmacia Veterinaria";46.0708418;11.1234078;;;;;
;46.1601535;10.7654611;;;;;
"Tecnisan articoli sanitari";46.0445596;11.1286721;;;;;
;46.0353784;10.8724215;;;;;
"Farmacia Nardelli Gabriele";45.9606101;10.914025;"Via Giuseppe Mazzini";"DRO";"Mo-Fr 08:30-12:00, Mo-Sa 15:00-19:00, Sa 09:00-12:00";;
"Igea";46.0608378;11.1280488;"Via Milano";"Trento";"Mo-Fr 08:30-12:30,15:00-19:00, Sa 08:30-12:30";"+39 0461 910761";
;46.4375538;11.1366928;;;;;
;46.2592562;10.5851467;;;;;
"Farmacia Santoni";45.8843881;11.018394;;;;;"yes"
;46.4052386;11.0170999;;;;;
;46.3260432;10.8740406;;"Dimaro";;;
"Comunale";45.9415;11.1100893;;;;;
;46.2646016;11.0867259;;;;;
"Farmacia Giupponi";46.0069356;11.1278389;;;;;
"Parafarmacia";46.477323;11.7702598;;;;;
"Farmacia San Giovanni";46.4200601;11.6754117;"Strada Neva";;"Mo-Sa 08:30-12:30, 15:30-19:30; Su 09:00-12:00, 16:00-19:00";"0462764145";
;46.0163984;11.6339731;;;;;
"Farmacia Malfatti";46.004345;11.1949906;;;;;
"Farmacia";46.0772173;10.9082944;;;;;
