"model","eco_fuel","energySource","engine_type","typePrivate"
"BMW 1 Series 3-door F21, From September 2012",0,"Diesel","120d 3-door - 225/40 R18 tyres front / 245/35 R18 tyres rear","Car"
"BMW 1 Series 5-door F20 From September 2011",0,"Diesel","120d 5-door - 205/50 R17 tyres front & rear","Car"
"BMW 1 Series 5-door F20, From September 2011",0,"Diesel","120d 5-door - 225/40 R18 tyres front / 245/35 R18 tyres rear","Car"
"BMW 1 Series E81/E82/E87/E88",0,"Diesel","120i Convertible","Car"
"BMW 1 Series E81/E87",0,"Petrol","118d 3-door - with particle filter - from March 2007","Car"
"BMW 1 Series E87",0,"Petrol","120i","Car"
"BMW 1 Series F20 - from September 2011",0,"Diesel","116d 5-door - all tyre sizes - from September 2011","Car"
"BMW 3 Series E36",0,"Petrol","Z3 Roadster 2.2i","Car"
"BMW 3 Series E46",0,"Petrol","330 Ci Convertible","Car"
"BMW 3 Series E90",0,"Petrol","320d Saloon","Car"
"BMW 3 Series E90/E91",0,"Petrol","318i Saloon","Car"
"BMW 3 Series E90/E91/E92/E93",0,"Petrol","325i Coupé","Car"
"BMW 3 Series Gran Turismo F34, From June 2013",0,"Petrol","318d Gran Turismo - 225/45 R19 tyres front / 255/40 R19 tyres rear","Car"
"BMW 3 Series Saloon F30 From February 2012",0,"Diesel","320d EfficientDynamics Saloon - 205/60 R16 tyres front & rear","Car"
"BMW 3 Series Saloon F30, From February 2012",0,"Diesel","320d Saloon - all tyre sizes","Car"
"BMW 3 Series Touring F31, from September 2012",0,"Diesel","320d Touring - all tyre sizes","Car"
"BMW 5 Series E39",0,"Petrol","520i Touring","Car"
"BMW 5 Series E60/E61",0,"Petrol","525i Saloon","Car"
"BMW 5 Series F10/F11",0,"Petrol","523i Saloon - from March 2010","Car"
"BMW 5 Series F10/F11 From March 2010",0,"Diesel","520d Saloon - 225/55 R17 tyres front & rear","Car"
"BMW 5 Series F10/F11, From March 2010",0,"Diesel","523i Saloon","Car"
"BMW 5 Series Gran Turismo F07",0,"Petrol","530d Gran Turismo - with particle filter","Car"
"BMW 5 Series Gran Turismo F07 From October 2009",0,"Petrol","530d Gran Turismo - with particle filter","Car"
"BMW 5 Series Gran Turismo F07, From October 2009",0,"Diesel","535i Gran Turismo","Car"
"BMW 6 Series E63/E64",0,"Petrol","630i Convertible","Car"
"BMW 6 Series F12/F13 March 2011",0,"Petrol","640d Convertible - 245/35 R20 tyres front & 275/30 R20 tyres rear","Car"
"BMW 6 Series F12/F13, March 2011",0,"Petrol","M6 Coupé","Car"
"BMW 6 Series Gran Coupé F06 , From June 2012",0,"Petrol","640d Gran Coupé - 245/35 R20 tyres front & 275/30 R20 tyres rear","Car"
"BMW 6 Series Gran Coupé F06 From June 2012",0,"Petrol","640d Gran Coupé - 245/35 R20 tyres front & 275/30 R20 tyres rear","Car"
"BMW 7 Series E38",0,"Petrol","728i Saloon","Car"
"BMW 7 Series E65",0,"Petrol","735i Saloon","Car"
"BMW 7 Series E65/E66",0,"Petrol","730i Saloon","Car"
"BMW 7 Series F01/F02",0,"Petrol","740i Saloon","Car"
"BMW X1 Series E84 , From October 2009",0,"Petrol","X1 sDrive18d","Car"
"BMW X1 Series s/xDrive E84",0,"Diesel","X1 xDrive20d - with particle filter","Car"
"BMW X1 Series s/xDrive E84 From October 2009",0,"Diesel","X1 sDrive20d - with particle filter","Car"
"BMW X1 Series s/xDrive E84, From October 2009",0,"Diesel","X1 sDrive20d - with particle filter","Car"
"BMW X3 Series E83",0,"Diesel","X3 2.5i","Car"
"BMW X3 Series F25 From November 2010",0,"Diesel","X3 xDrive20d","Car"
"BMW X3 Series F25, From November 2010",0,"Diesel","X3 xDrive20d","Car"
"BMW X5 Series E53",0,"Petrol","X5 3.0i","Car"
"BMW X5 Series E70",0,"Diesel","X5 M","Car"
"BMW X6 Series E71",0,"Diesel","X6 M","Car"
"BMW Z4 Series E85",0,"Petrol","Z4 2.5i Roadster","Car"
"BMW Z4 Series E85/E86",0,"Petrol","Z4 3.0si Coupé","Car"
"BMW Z4 Series E89",0,"Petrol","Z4 sDrive35i Roadster","Car"
"BMW Z8 Series E52",0,"Petrol","Z8","Car"
"Bentley Motors Arnage",0,"Petrol","R","Car"
"Bentley Motors Arnage (from 2007 model year)",0,"Petrol","R","Car"
"Bentley Motors Azure",0,"Petrol","Azure","Car"
"Bentley Motors Azure (from 2007 model year)",0,"Petrol","Convertible","Car"
"Bentley Motors Bentley",0,"Petrol","Arnage R","Car"
"Bentley Motors Brooklands",0,"Petrol","Coupé","Car"
"Bentley Motors Continental",0,"Petrol","GT","Car"
"Bentley Motors Continental (from 2007 model year)",0,"Petrol","GT","Car"
"Bentley Motors Continental (from 2008 model year)",0,"Petrol","GT","Car"
"Bentley Motors Flying Spur, 2014",0,"Petrol","W12","Car"
"Bentley Motors Mulsanne",0,"Petrol","Mulsanne","Car"
"Cadillac BLS",0,"Petrol","2.0T 175 hp","Car"
"Cadillac BLS, 4 Door Saloon",0,"Petrol","1.9D 150 hp","Car"
"Cadillac BLS, 5 Door Wagon",0,"Petrol","1.9D 150 hp","Car"
"Cadillac BLS, MY2007 4 Door Saloon",0,"Petrol","1.9D 150 hp","Car"
"Cadillac BLS, MY2008 4 Door Saloon",0,"Petrol","1.9D 150 hp","Car"
"Cadillac BLS, MY2008 5 Door Wagon",0,"Petrol","1.9D 150 hp","Car"
"Cadillac CTS",0,"Petrol","2.8 - V6","Car"
"Cadillac CTS, MY2007 4 Door Saloon",0,"Petrol","2.8 V6","Car"
"Cadillac CTS, MY2009 4 Door Saloon",0,"Petrol","CTS-V","Car"
"Cadillac Cadillac, Model Year 2002",0,"Petrol","STS","Car"
"Cadillac Escalade",0,"Petrol","6.2 - V8 AUT","Car"
"Cadillac Escalade, MY2007",0,"Petrol","6.2 V8","Car"
"Cadillac Escalade, MY2008",0,"Petrol","6.2 V8","Car"
"Cadillac SRX",0,"Petrol","3.6 - V6 AUT","Car"
"Cadillac SRX, MY2007",0,"Petrol","4.6 V8","Car"
"Cadillac SRX, MY2008",0,"Petrol","4.6 V8","Car"
"Cadillac STS",0,"Petrol","3.6 - V6 AUT","Car"
"Cadillac STS, MY2007 4 Door Saloon",0,"Petrol","4.6 V8","Car"
"Cadillac STS, MY2008 4 Door Saloon",0,"Petrol","4.6 V8","Car"
"Cadillac STS-V",0,"Petrol","4.4 - V8 AUT","Car"
"Cadillac Seville STS Model Year 2000",0,"Petrol","4.6L V8 (LD8)","Car"
"Cadillac Seville STS Model Year 2002",0,"Petrol","4.6L V8 (LS7)","Car"
"Cadillac XLR",0,"Petrol","4.6 - V8 AUT","Car"
"Cadillac XLR (06MY)",0,"Petrol","4.6 - V8 AUT","Car"
"Cadillac XLR-V",0,"Petrol","4.4 - V8 AUT","Car"
"Chevrolet Aveo",0,"Petrol","1.2 LS 5 door Hatchback","Car"
"Chevrolet Aveo MY2011",0,"Petrol","1.2LS 5 Door Hatchback (with A/C)","Car"
"Chevrolet Aveo, MY2011",0,"Petrol","1.2LS 5 Door Hatchback (with A/C)","Car"
"Chevrolet Aveo, MY2012",0,"Petrol","1.2","Car"
"Chevrolet Aveo, MY2013",0,"Petrol","1.2 (68PS) Stop/Start","Car"
"Chevrolet Blazer",0,"Petrol","4.3L V6","Car"
"Chevrolet Blazer Model Year 2000",0,"Petrol","4.3I V6 LS","Car"
"Chevrolet Camaro MY2012",0,"Petrol","6.2 V8","Car"
"Chevrolet Camaro STS Model Year 2000",0,"Petrol","5.7 V8 C pack","Car"
"Chevrolet Camaro, MY2012",0,"Petrol","6.2 V8","Car"
"Chevrolet Camaro, MY2013",0,"Petrol","6.2 V8 Convertible","Car"
"Chevrolet Camaro, Model Year 2002",0,"Petrol","Z28","Car"
"Chevrolet Captiva",0,"Diesel","2.0 VCDi LT 4WD 7 seats","Car"
"Chevrolet Captiva MY2011",0,"Diesel","2.2VCDi AWD (184PS)","Car"
"Chevrolet Captiva MY2012",0,"Diesel","2.2VCDi (163PS) FWD","Car"
"Chevrolet Captiva, MY2011",0,"Diesel","2.2 VCDi AWD (184PS)","Car"
"Chevrolet Captiva, MY2012",0,"Diesel","2.2VCDi (163PS) FWD","Car"
"Chevrolet Captiva, MY2013",0,"Diesel","2.2 VCDi (163PS) FWD Stop/Start","Car"
"Chevrolet Chevrolet, Model Year 2002",0,"Petrol","Corvette Convertible","Car"
"Chevrolet Corvette",0,"Petrol","5.7L V8","Car"
"Chevrolet Corvette Model Year 2000",0,"Petrol","5.7I V8 A pack Coupé/ Convertible","Car"
"Chevrolet Cruze",0,"Petrol","2.0 VCDi LT (150PS) 4 door Saloon (with a/c)","Car"
"Chevrolet Cruze MY2010",0,"Petrol","1.6LS 4 Door Saloon (with a/c)","Car"
"Chevrolet Cruze MY2011",0,"Petrol","1.6","Car"
"Chevrolet Cruze MY2012",0,"Diesel","2.0 Saloon","Car"
"Chevrolet Cruze Station Wagon, MY2013",0,"Petrol","1.6","Car"
"Chevrolet Cruze, MY2011",0,"Petrol","1.8","Car"
"Chevrolet Cruze, MY2012",0,"Diesel","1.6 Hatchback","Car"
"Chevrolet Cruze, MY2013",0,"Petrol","1.6 (124PS) Hatchback","Car"
"Chevrolet Epica",0,"Diesel","2.0 LS 4 door Saloon","Car"
